File Name,Sliced File Name,Truncated Description,Description,Certainty
image0,image0.jpg,cardigan,cardigan,0.493442774
image0,image0_01_01.jpg,window shade,window shade,0.058798902
image0,image0_01_02.jpg,barbershop,barbershop,0.148972601
image0,image0_02_01.jpg,barbershop,barbershop,0.133860946
image0,image0_02_02.jpg,sweatshirt,sweatshirt,0.794435143
image1,image1.jpg,ballplayer,"ballplayer, baseball player",0.21569261
image1,image1_01_01.jpg,shopping basket,shopping basket,0.1688416
image1,image1_01_02.jpg,yurt,yurt,0.27606222
image1,image1_02_01.jpg,drumstick,drumstick,0.369505554
image1,image1_02_02.jpg,jersey,"jersey, T-shirt, tee shirt",0.084315211
image10,image10.jpg,wig,wig,0.977025926
image10,image10_01_01.jpg,wig,wig,0.876023471
image10,image10_01_02.jpg,wig,wig,0.981202722
image10,image10_02_01.jpg,jeep,"jeep, landrover",0.31873101
image10,image10_02_02.jpg,miniskirt,"miniskirt, mini",0.303911209
image100,image100.jpg,shower cap,shower cap,0.097547762
image100,image100_01_01.jpg,feather boa,"feather boa, boa",0.202196062
image100,image100_01_02.jpg,seat belt,"seat belt, seatbelt",0.552433074
image100,image100_02_01.jpg,brassiere,"brassiere, bra, bandeau",0.125667289
image100,image100_02_02.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.271607369
image1000,image1000.jpg,gown,gown,0.232340574
image1000,image1000_01_01.jpg,toyshop,toyshop,0.050612286
image1000,image1000_01_02.jpg,library,library,0.222641051
image1000,image1000_02_01.jpg,limousine,"limousine, limo",0.365360558
image1000,image1000_02_02.jpg,limousine,"limousine, limo",0.961981654
image1001,image1001.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.476042747
image1001,image1001_01_01.jpg,neck brace,neck brace,0.731844425
image1001,image1001_01_02.jpg,face powder,face powder,0.107216381
image1001,image1001_02_01.jpg,bathing cap,"bathing cap, swimming cap",0.699133158
image1001,image1001_02_02.jpg,bathing cap,"bathing cap, swimming cap",0.248591065
image1002,image1002.jpg,bow tie,"bow tie, bow-tie, bowtie",0.525118291
image1002,image1002_01_01.jpg,sunglasses,"sunglasses, dark glasses, shades",0.21393317
image1002,image1002_01_02.jpg,panpipe,"panpipe, pandean pipe, syrinx",0.042155001
image1002,image1002_02_01.jpg,seat belt,"seat belt, seatbelt",0.308993071
image1002,image1002_02_02.jpg,breastplate,"breastplate, aegis, egis",0.201896906
image1003,image1003.jpg,feather boa,"feather boa, boa",0.976271749
image1003,image1003_01_01.jpg,fur coat,fur coat,0.77373749
image1003,image1003_01_02.jpg,bonnet,"bonnet, poke bonnet",0.136410713
image1003,image1003_02_01.jpg,feather boa,"feather boa, boa",0.840346813
image1003,image1003_02_02.jpg,feather boa,"feather boa, boa",0.476940066
image1004,image1004.jpg,spatula,spatula,0.127599359
image1004,image1004_01_01.jpg,Christmas stocking,Christmas stocking,0.121815145
image1004,image1004_01_02.jpg,kimono,kimono,0.485587418
image1004,image1004_02_01.jpg,ski mask,ski mask,0.093418486
image1004,image1004_02_02.jpg,goblet,goblet,0.105563864
image1005,image1005.jpg,bathtub,"bathtub, bathing tub, bath, tub",0.059590217
image1005,image1005_01_01.jpg,sleeping bag,sleeping bag,0.212626532
image1005,image1005_01_02.jpg,potter's wheel,potter's wheel,0.11095833
image1005,image1005_02_01.jpg,velvet,velvet,0.08768905
image1005,image1005_02_02.jpg,cellular telephone,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.066440091
image1006,image1006.jpg,cellular telephone,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.315889776
image1006,image1006_01_01.jpg,harmonica,"harmonica, mouth organ, harp, mouth harp",0.388455689
image1006,image1006_01_02.jpg,harmonica,"harmonica, mouth organ, harp, mouth harp",0.284549892
image1006,image1006_02_01.jpg,wardrobe,"wardrobe, closet, press",0.095536664
image1006,image1006_02_02.jpg,toilet tissue,"toilet tissue, toilet paper, bathroom tissue",0.045194585
image1007,image1007.jpg,mouse,"mouse, computer mouse",0.511355102
image1007,image1007_01_01.jpg,television,"television, television system",0.054768533
image1007,image1007_01_02.jpg,library,library,0.194995031
image1007,image1007_02_01.jpg,remote control,"remote control, remote",0.267275095
image1007,image1007_02_02.jpg,mouse,"mouse, computer mouse",0.796593547
image1008,image1008.jpg,bannister,"bannister, banister, balustrade, balusters, handrail",0.905269742
image1008,image1008_01_01.jpg,coho,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.287974983
image1008,image1008_01_02.jpg,park bench,park bench,0.150057644
image1008,image1008_02_01.jpg,bannister,"bannister, banister, balustrade, balusters, handrail",0.388333797
image1008,image1008_02_02.jpg,bannister,"bannister, banister, balustrade, balusters, handrail",0.370039791
image1009,image1009.jpg,prison,"prison, prison house",0.760145724
image1009,image1009_01_01.jpg,prison,"prison, prison house",0.808708489
image1009,image1009_01_02.jpg,prison,"prison, prison house",0.918136239
image1009,image1009_02_01.jpg,horizontal bar,"horizontal bar, high bar",0.205458567
image1009,image1009_02_02.jpg,crutch,crutch,0.058627497
image101,image101.jpg,freight car,freight car,0.763108015
image101,image101_01_01.jpg,gar,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.107724406
image101,image101_01_02.jpg,park bench,park bench,0.113100246
image101,image101_02_01.jpg,baseball,baseball,0.285521537
image101,image101_02_02.jpg,freight car,freight car,0.950951576
image1010,image1010.jpg,neck brace,neck brace,0.363441885
image1010,image1010_01_01.jpg,bow tie,"bow tie, bow-tie, bowtie",0.316502839
image1010,image1010_01_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.123990469
image1010,image1010_02_01.jpg,military uniform,military uniform,0.576756895
image1010,image1010_02_02.jpg,seat belt,"seat belt, seatbelt",0.129753977
image1011,image1011.jpg,abaya,abaya,0.182759777
image1011,image1011_01_01.jpg,neck brace,neck brace,0.128185034
image1011,image1011_01_02.jpg,bonnet,"bonnet, poke bonnet",0.288741112
